Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
M. Andrews,BAL,1,310,1,320,3,24.6%,3,25.6%,153,1361,1,1497,9,27,70%,1,0/0
T. Kelce,KC,2,257,2,236,4,21.2%,7,18.9%,134,1125,2,1318,9,29,69%,1,3/60
D. Goedert,PHI,3,220,3,232,1,34.7%,1,36.8%,76,830,4,922,4,19,74%,1,1/21
D. Schultz,DAL,4,190,6,169,5,20.3%,10,17.2%,104,808,3,996,8,16,75%,0,0/0
H. Henry,NE,5,174,4,188,2,25.8%,2,28.4%,75,603,8,823,9,35,67%,0,3/41
R. Gronkowski,TB,6,166,7,150,7,19.9%,9,17.2%,89,802,6,875,6,48,62%,0,2/17
G. Kittle,SF,7,166,5,181,6,20.1%,5,22.6%,94,910,7,870,6,15,76%,2,0/0
D. Knox,BUF,8,126,8,127,10,18.4%,8,18.5%,71,587,9,687,9,28,69%,0,0/0
K. Pitts,ATL,9,120,9,111,14,8.8%,15,7.6%,110,1026,5,891,1,47,62%,0,4/34
C. Uzomah,CIN,10,75,10,71,12,11.4%,12,10.5%,63,493,16,500,5,8,78%,0,0/0
T. Hockenson,DET,11,71,11,69,18,5.2%,17,4.9%,84,583,12,634,4,21,73%,0,2/27
D. Njoku,CLE,12,71,12,68,11,12.8%,11,12.0%,53,475,20,450,4,31,68%,0,0/0
T. Higbee,LAR,13,58,20,25,21,2.5%,29,-3.0%,85,560,13,626,5,23,72%,1,0/0
H. Bryant,CLE,14,54,13,62,8,19.7%,4,23.6%,28,233,27,288,3,16,75%,0,0/0
N. Fant,DEN,15,52,14,58,22,2.3%,20,3.4%,90,670,14,576,4,14,76%,0,0/0
P. Freiermuth,PIT,16,51,15,55,20,2.6%,21,3.3%,79,497,15,549,7,12,76%,1,0/0
D. Smythe,MIA,17,47,17,42,13,9.9%,13,8.2%,41,357,24,332,0,2,83%,0,0/0
L. Thomas,WAS,18,46,16,48,9,18.9%,6,20.3%,25,201,32,246,3,22,72%,1,1/12
G. Everett,SEA,19,37,23,23,24,1.2%,28,-1.8%,63,478,21,443,4,10,76%,2,0/0
R. Tonyan,GB,20,30,29,20,17,6.1%,24,1.8%,29,204,30,254,2,46,62%,0,3/55
D. Parham,LAC,21,28,21,25,16,7.0%,16,5.3%,27,190,34,228,3,18,74%,0,1/9
F. Moreau,LV,22,26,18,34,23,1.6%,19,4.0%,44,373,25,310,3,30,68%,1,1/17
J. Bates,WAS,23,26,19,26,15,8.0%,14,8.1%,25,249,37,200,1,6,80%,1,0/0
J. Doyle,IND,24,20,25,23,27,-0.4%,26,0.5%,43,302,26,291,3,33,67%,0,0/0
T. Kroft,NYJ,25,19,31,11,19,4.0%,27,-0.7%,25,173,43,178,1,41,64%,0,1/8
A. Okwuegbunam,DEN,26,16,22,24,28,-1.0%,23,2.4%,40,330,31,247,2,3,83%,1,0/0
W. Dissly,SEA,27,14,28,21,25,0.6%,18,4.4%,26,231,42,179,1,5,81%,1,0/0
B. Jordan,HOU,28,13,30,19,26,-0.2%,22,3.3%,28,178,40,184,3,24,71%,0,0/0
J. Cook,LAC,29,10,24,23,31,-5.4%,30,-3.1%,83,564,18,484,4,52,58%,0,1/13
M. Alie-Cox,IND,30,10,33,3,29,-4.0%,33,-6.3%,45,316,28,272,4,54,53%,1,1/14
A. Firkser,TEN,31,6,26,22,30,-4.9%,25,0.9%,43,291,33,240,2,7,79%,1,1/5
Z. Ertz,2TM,32,5,27,21,32,-6.6%,31,-4.5%,112,763,10,657,5,37,66%,0,2/17
M. Gesicki,MIA,33,-2,34,0,33,-7.6%,34,-7.2%,112,780,11,642,2,38,65%,0,1/26
A. Hooper,CLE,34,-3,36,-6,34,-8.0%,35,-8.7%,61,345,23,359,3,44,62%,0,3/17
J. Deguara,GB,35,-3,38,-8,35,-8.7%,39,-11.0%,33,245,41,184,2,13,76%,0,0/0
Z. Gentry,PIT,36,-4,39,-11,38,-9.7%,42,-13.8%,25,167,49,133,0,11,76%,0,0/0
C. Kmet,CHI,37,-11,40,-15,37,-9.3%,38,-9.9%,93,610,19,453,0,39,65%,0,1/15
D. Waller,LV,38,-12,41,-16,36,-9.1%,37,-9.8%,93,665,17,496,2,51,59%,0,0/0
D. Arnold,2TM,39,-12,32,6,39,-10.8%,32,-5.5%,52,408,29,264,0,34,67%,1,1/6
M. Lewis,GB,40,-17,46,-23,42,-15.6%,46,-18.7%,28,214,48,134,0,4,82%,1,0/0
K. Rudolph,NYG,41,-20,43,-19,40,-14.4%,43,-14.1%,39,257,39,187,1,35,67%,0,1/8
H. Hurst,ATL,42,-23,37,-8,45,-18.5%,40,-11.4%,31,221,50,119,3,1,84%,3,0/0
G. Swaim,TEN,43,-24,42,-18,43,-15.8%,41,-13.6%,40,210,38,187,3,9,78%,0,1/6
I. Thomas,CAR,44,-26,44,-22,50,-21.9%,47,-19.5%,30,188,54,95,0,50,60%,0,1/6
R. Griffin,NYJ,45,-27,45,-23,44,-16.9%,45,-15.5%,42,261,44,175,2,40,64%,1,0/0
J. O'Shaughnessy,JAX,46,-27,35,-4,46,-18.7%,36,-9.1%,34,244,47,140,0,25,71%,0,1/15
J. Akins,HOU,47,-28,47,-25,47,-20.8%,48,-19.6%,33,214,51,112,0,20,73%,2,0/0
T. Tremble,CAR,48,-36,48,-40,51,-24.0%,51,-25.8%,35,180,53,102,1,53,57%,0,0/0
A. Trautman,NO,49,-41,50,-41,49,-21.6%,50,-21.8%,43,263,45,151,2,43,63%,1,0/0
T. Conklin,MIN,50,-41,49,-40,41,-14.8%,44,-14.6%,87,593,22,375,3,26,70%,1,1/1
C. Brate,TB,51,-53,55,-76,48,-20.8%,53,-26.6%,57,245,36,214,4,55,53%,0,1/9
R. Seals-Jones,WAS,52,-60,52,-63,53,-25.7%,52,-26.6%,49,271,46,143,2,49,61%,0,0/0
J. Smith,NE,53,-63,51,-61,54,-28.6%,54,-28.1%,45,294,52,110,1,45,62%,1,0/0
P. Brown,HOU,54,-63,54,-74,55,-35.3%,55,-40.2%,34,171,55,52,0,32,68%,1,1/13
E. Engram,NYG,55,-81,53,-67,52,-24.2%,49,-21.3%,73,408,35,226,3,42,63%,1,3/26

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
M. Williams,ARI,1,74,1,75,1,57.6%,1,58.2%,17,193,1,258,1,1,94%,0,0/0
J. Johnson,NO,2,45,2,51,3,22.2%,3,26.6%,22,159,2,225,4,21,59%,0,0/0
M. Pruitt,TEN,3,45,3,48,2,25.9%,2,28.8%,18,145,3,210,3,4,78%,0,0/0
S. Anderson,LAC,4,38,4,37,4,18.8%,5,18.4%,19,165,4,205,1,2,84%,0,1/15
J. Graham,CHI,5,32,5,35,5,14.3%,6,15.9%,23,167,5,195,3,18,61%,0,0/0
N. Vannett,NO,6,18,6,26,6,10.7%,4,19.4%,15,133,8,121,1,19,60%,0,0/0
89-B.Wright,DET,7,14,9,3,7,5.0%,9,-4.5%,17,117,7,129,2,9,71%,0,0/0
O. Howard,TB,8,10,8,9,8,-0.6%,8,-0.8%,21,135,6,142,1,12,67%,0,0/0
B. Jarwin,DAL,9,5,7,10,9,-2.9%,7,0.7%,17,96,9,117,2,15,65%,0,1/16
A. Shaheen,MIA,10,-6,10,-2,10,-12.1%,10,-8.8%,16,110,10,85,0,5,75%,0,0/0
